=== cfg0: 3 channels, sizes [178, 41, 21], base bad=[20215, 28647]
  mask(0, 0, 0) (None, None, None): fails=28 score=39005 bad=[20215, 28647] (2s)
    *** NEW BEST 39005 ***
  mask(1, 1, 1, 0) (47, 91, 2081, None): fails=242 score=38791 bad=[392, 715, 722, 724, 7389, 10187, 18800, 18803] (3s)
  mask(1, 1, 1, 0) (47, 1203, 490, None): fails=233 score=38800 bad=[392, 715, 722, 724, 7389, 10187, 18800, 18803] (3s)
  mask(1, 1, 1, 0) (47, 1203, 2081, None): fails=249 score=38784 bad=[392, 715, 722, 724, 7389, 10187, 18800, 18803] (3s)
  mask(1, 1, 1, 0) (112, 91, 490, None): fails=208 score=38825 bad=[392, 715, 722, 724, 7389, 10187, 18800, 18803] (2s)
  mask(1, 1, 1, 0) (112, 91, 2081, None): fails=224 score=38809 bad=[392, 715, 722, 724, 7389, 10187, 18800, 18803] (2s)
  mask(1, 1, 1, 0) (112, 1203, 490, None): fails=215 score=38818 bad=[392, 715, 722, 724, 7389, 10187, 18800, 18803] (2s)
  mask(1, 1, 1, 0) (112, 1203, 2081, None): fails=231 score=38802 bad=[392, 715, 722, 724, 7389, 10187, 18800, 18803] (3s)
  mask(1, 1, 1, 1) (47, 91, 490, 1530): fails=138 score=38895 bad=[7389, 10187, 20649, 20652, 21548, 21549, 25148, 26960] (3s)
  mask(1, 1, 1, 1) (47, 91, 490, 5643): fails=236 score=38797 bad=[392, 722, 724, 726, 7389, 10187, 15696, 15697] (3s)
  mask(1, 1, 1, 1) (47, 91, 2081, 1530): fails=154 score=38879 bad=[7389, 10187, 20649, 20652, 21548, 21549, 25148, 26215] (2s)
  mask(1, 1, 1, 1) (47, 91, 2081, 5643): fails=252 score=38781 bad=[392, 722, 724, 726, 7389, 10187, 15696, 15697] (3s)
  mask(1, 1, 1, 1) (47, 1203, 490, 1530): fails=145 score=38888 bad=[7389, 10187, 20649, 20652, 25148, 26960, 26963, 26965] (3s)
  mask(1, 1, 1, 1) (47, 1203, 490, 5643): fails=243 score=38790 bad=[392, 722, 724, 726, 7389, 10187, 15696, 15697] (3s)
  mask(1, 1, 1, 1) (47, 1203, 2081, 1530): fails=161 score=38872 bad=[7389, 10187, 20649, 20652, 25148, 26215, 26960, 26963] (3s)
  mask(1, 1, 1, 1) (47, 1203, 2081, 5643): fails=259 score=38774 bad=[392, 722, 724, 726, 7389, 10187, 15696, 15697] (3s)
  mask(1, 1, 1, 1) (112, 91, 490, 1530): fails=120 score=38913 bad=[7389, 10187, 20649, 20652, 21548, 21549, 26960, 26963] (2s)
  mask(1, 1, 1, 1) (112, 91, 490, 5643): fails=218 score=38815 bad=[392, 722, 724, 726, 7389, 10187, 15696, 15697] (2s)
  mask(1, 1, 1, 1) (112, 91, 2081, 1530): fails=136 score=38897 bad=[7389, 10187, 20649, 20652, 21548, 21549, 26215, 26960] (3s)
  mask(1, 1, 1, 1) (112, 91, 2081, 5643): fails=234 score=38799 bad=[392, 722, 724, 726, 7389, 10187, 15696, 15697] (9s)
  mask(1, 1, 1, 1) (112, 1203, 490, 1530): fails=127 score=38906 bad=[7389, 10187, 20649, 20652, 26960, 26963, 26965, 28035] (7s)
  mask(1, 1, 1, 1) (112, 1203, 490, 5643): fails=225 score=38808 bad=[392, 722, 724, 726, 7389, 10187, 15696, 15697] (5s)
  mask(1, 1, 1, 1) (112, 1203, 2081, 1530): fails=143 score=38890 bad=[7389, 10187, 20649, 20652, 26215, 26960, 26963, 26965] (5s)
  mask(1, 1, 1, 1) (112, 1203, 2081, 5643): fails=241 score=38792 bad=[392, 722, 724, 726, 7389, 10187, 15696, 15697] (3s)
=== cfg7: 4 channels, sizes [41, 24, 9, 4], base bad=[392, 715, 722, 724, 7389, 10187, 11789, 15360, 15363, 16020, 18800, 18803, 19692, 20212, 20215, 21958, 24403, 24540, 27585, 28647, 31548, 33099, 40354]
  mask(0, 0, 0, 0) (None, None, None, None): fails=184 score=38849 bad=[392, 715, 722, 724, 11789, 15360, 15363, 16020] (9s)
  mask(0, 0, 0, 1) (None, None, None, 1530): fails=125 score=38908 bad=[715, 722, 724, 11789, 15360, 15363, 16020, 19692] (3s)
  mask(0, 0, 0, 1) (None, None, None, 5643): fails=202 score=38831 bad=[392, 715, 722, 724, 11789, 15360, 15363, 15696] (3s)
  mask(0, 0, 1, 0) (None, None, 438, None): fails=172 score=38861 bad=[392, 715, 722, 724, 11789, 15360, 15363, 16020] (3s)
  mask(0, 0, 1, 0) (None, None, 1603, None): fails=116 score=38917 bad=[392, 715, 722, 724, 18800, 18803, 20215, 21958] (3s)
  mask(0, 0, 1, 1) (None, None, 438, 1530): fails=86 score=38947 bad=[11789, 15360, 15363, 16020, 19692, 20215, 28647, 36924] (2s)
  mask(0, 0, 1, 1) (None, None, 438, 5643): fails=182 score=38851 bad=[392, 722, 724, 726, 11789, 15360, 15363, 15696] (2s)
  mask(0, 0, 1, 1) (None, None, 1603, 1530): fails=28 score=39005 bad=[20215, 28647] (2s)
  mask(0, 0, 1, 1) (None, None, 1603, 5643): fails=126 score=38907 bad=[392, 722, 724, 726, 15696, 15697, 18800, 18803] (2s)
  mask(0, 1, 0, 0) (None, 490, None, None): fails=198 score=38835 bad=[392, 715, 722, 724, 11789, 15360, 15363, 16020] (3s)
  mask(0, 1, 0, 0) (None, 2081, None, None): fails=201 score=38832 bad=[392, 715, 722, 724, 11789, 15360, 15363, 16020] (3s)
  mask(0, 1, 0, 1) (None, 490, None, 1530): fails=153 score=38880 bad=[715, 722, 724, 11789, 15360, 15363, 16020, 19692] (3s)
  mask(0, 1, 0, 1) (None, 490, None, 5643): fails=215 score=38818 bad=[392, 715, 722, 724, 11789, 15360, 15363, 15696] (4s)
  mask(0, 1, 0, 1) (None, 2081, None, 1530): fails=169 score=38864 bad=[715, 722, 724, 11789, 15360, 15363, 16020, 19692] (4s)
  mask(0, 1, 0, 1) (None, 2081, None, 5643): fails=231 score=38802 bad=[392, 715, 722, 724, 11789, 15360, 15363, 15696] (4s)
  mask(0, 1, 1, 0) (None, 490, 438, None): fails=200 score=38833 bad=[392, 715, 722, 724, 11789, 15360, 15363, 16020] (3s)
  mask(0, 1, 1, 0) (None, 490, 1603, None): fails=144 score=38889 bad=[392, 715, 722, 724, 18800, 18803, 20215, 21958] (3s)
  mask(0, 1, 1, 0) (None, 2081, 438, None): fails=216 score=38817 bad=[392, 715, 722, 724, 11789, 15360, 15363, 16020] (3s)
  mask(0, 1, 1, 0) (None, 2081, 1603, None): fails=160 score=38873 bad=[392, 715, 722, 724, 18800, 18803, 20215, 21958] (3s)
  mask(0, 1, 1, 1) (None, 490, 438, 1530): fails=114 score=38919 bad=[11789, 15360, 15363, 16020, 19692, 20215, 26960, 26963] (3s)
  mask(0, 1, 1, 1) (None, 490, 438, 5643): fails=210 score=38823 bad=[392, 722, 724, 726, 11789, 15360, 15363, 15696] (4s)
  mask(0, 1, 1, 1) (None, 490, 1603, 1530): fails=56 score=38977 bad=[20215, 26960, 26963, 26965, 28647, 30479, 30480, 40306] (3s)
  mask(0, 1, 1, 1) (None, 490, 1603, 5643): fails=154 score=38879 bad=[392, 722, 724, 726, 15696, 15697, 18800, 18803] (3s)
  mask(0, 1, 1, 1) (None, 2081, 438, 1530): fails=130 score=38903 bad=[11789, 15360, 15363, 16020, 19692, 20215, 26215, 26960] (3s)
  mask(0, 1, 1, 1) (None, 2081, 438, 5643): fails=226 score=38807 bad=[392, 722, 724, 726, 11789, 15360, 15363, 15696] (3s)
