idx	deg	nvars	litbits	nmon	coefbits
444	4	22	24	376	54
445	2	6	19	12	25
446	4	22	6	346	14
447	4	18	6	322	14
448	2	5	26	6	31
449	1	24	6	22	9
450	2	26	24	19	31
451	2	6	19	9	24
452	2	34	23	42	23
453	1	18	20	19	25
454	2	8	18	5	22
455	2	16	24	17	48
456	2	20	16	27	37
457	2	33	28	41	34
458	2	11	14	15	20
459	2	27	24	28	44
460	2	30	24	21	47
461	2	24	16	31	37
462	2	33	6	43	11
463	2	27	24	31	32
464	8	19	24	13685	117
465	2	20	27	16	33
466	4	6	6	73	12
467	2	11	6	23	9
468	2	19	20	26	26
469	1	6	6	6	7
470	4	6	6	85	13
471	2	18	6	22	6
472	2	26	20	34	26
473	2	20	19	24	25
474	2	12	14	24	21
475	2	30	24	21	28
476	2	54	24	39	33
477	2	34	24	39	33
478	2	12	27	16	48
479	2	55	24	39	44
480	4	27	6	522	13
481	2	5	23	6	28
482	4	11	6	265	14
483	2	35	24	25	28
484	2	27	24	28	41
485	4	22	6	990	17
486	2	21	6	26	7
487	2	20	6	21	9
488	2	15	6	19	8
489	2	19	6	19	11
490	2	9	17	12	23
491	2	22	16	23	23
492	2	7	16	8	21
493	4	15	6	208	13
494	2	18	24	22	24
495	2	30	6	40	9
496	2	11	26	14	46
497	8	16	24	5814	117
498	2	23	28	32	34
499	2	18	20	18	25
500	2	22	20	22	26
501	2	31	19	40	25
502	4	16	16	231	42
503	4	44	28	496	86
504	4	33	6	893	14
505	4	32	6	-1	-1
506	4	30	6	663	13
507	2	22	24	26	44
508	8	13	24	3500	95
509	2	32	296	25	302
510	4	28	24	210	71
511	2	6	28	21	39
512	2	24	14	32	21
513	2	29	24	30	29
514	2	31	28	35	34
515	4	19	24	271	57
516	2	33	28	38	57
517	1	6	19	6	23
518	2	8	16	10	33
519	2	38	296	30	301
520	2	6	20	12	26
521	4	28	24	460	58
522	2	7	27	15	33
523	2	34	6	43	10
524	4	10	6	201	14
525	2	37	24	27	43
526	2	49	24	36	41
527	2	18	24	21	41
528	2	4	27	5	40
529	2	6	22	12	28
530	8	14	6	5814	27
531	2	23	24	24	47
532	2	34	25	38	51
533	1	22	20	22	26
534	2	35	6	45	11
535	2	30	5	33	6
536	2	20	15	23	21
537	2	3	13	7	20
538	2	23	24	26	48
539	4	15	23	120	56
540	1	8	24	8	32
541	4	14	23	135	46
542	2	53	24	38	46
543	2	34	6	42	9
544	2	8	5	36	10
545	2	21	296	16	318
546	2	32	6	42	6
547	2	7	6	15	8
548	2	31	16	40	22
549	4	16	16	231	42
550	4	16	16	231	40
551	2	22	6	30	8
552	2	24	19	32	40
553	8	27	6	-1	-1
554	2	2	5	4	10
555	4	19	6	348	12
556	4	17	28	253	66
557	1	14	19	15	26
558	2	12	16	16	25
559	2	12	16	15	24
560	1	6	24	6	29
561	2	43	24	32	46
562	2	30	24	31	49
563	2	34	28	36	55
564	2	28	20	33	26
565	2	10	5	9	5
566	4	32	24	701	55
567	2	23	26	16	53
568	4	26	24	460	57
569	2	4	27	8	33
570	2	26	19	28	25
571	2	12	19	15	25
572	1	18	6	18	11
573	4	33	24	698	77
574	4	7	16	45	32
575	2	26	20	27	27
576	2	12	17	9	22
577	4	5	5	21	10
578	1	18	16	19	22
579	2	9	25	7	30
580	2	14	24	15	48
581	1	4	20	4	26
582	2	24	24	25	29
583	2	24	16	32	23
584	2	13	24	11	47
585	4	54	27	780	82
586	4	23	6	493	13
587	8	12	6	16641	29
588	1	6	6	6	6
589	2	7	16	15	22
590	4	7	16	99	29
591	2	26	16	35	22
592	4	7	22	21	53
593	2	17	24	20	33
594	2	33	6	40	10
595	2	23	28	30	48
596	1	5	27	6	32
597	2	17	19	14	24
598	4	22	24	136	56
599	2	19	22	13	30
600	2	11	6	23	9
601	2	5	19	7	24
602	2	7	24	5	43
603	2	18	6	22	6
604	2	10	6	13	6
605	4	23	28	300	40
606	4	16	24	136	56
607	2	9	14	18	20
608	2	49	24	34	29
609	2	20	27	26	32
610	2	4	23	9	28
611	4	6	6	73	14
612	2	16	296	13	325
613	1	23	16	24	21
614	2	11	24	10	28
615	2	13	24	10	33
616	4	12	294	45	597
617	2	53	24	37	29
618	4	12	6	131	12
619	8	5	6	182	24
620	2	17	14	23	20
621	2	30	6	34	11
622	2	31	24	35	29
623	4	24	23	171	60
624	2	36	24	25	30
625	2	13	13	26	20
626	2	32	28	37	56
627	4	35	296	404	604
628	2	9	20	8	25
629	4	27	6	460	14
630	2	6	20	12	26
631	2	26	27	18	56
632	2	29	24	33	29
633	4	6	16	36	42
634	2	32	24	37	34
635	8	9	16	1330	80
636	2	18	6	20	9
637	4	16	6	229	12
638	2	28	24	33	25
639	2	8	6	16	7
640	2	10	28	11	33
641	2	17	16	23	21
642	2	9	19	12	24
643	2	26	19	30	25
644	2	29	24	33	29
645	2	8	16	8	21
646	4	13	21	45	51
647	4	11	24	55	76
648	4	42	24	465	61
649	8	51	296	-1	-1
650	4	23	24	373	58
651	2	14	6	14	9
652	4	37	296	405	621
653	2	5	20	11	26
654	2	14	16	18	21
655	2	31	20	35	26
656	2	17	22	12	41
657	2	17	28	22	49
658	2	57	24	41	42
659	8	53	24	-1	-1
660	2	18	16	19	21
661	2	30	24	30	48
662	2	8	16	16	22
663	1	16	20	17	27
664	2	35	20	45	26
665	2	27	24	31	47
666	4	12	27	36	83
667	2	19	24	23	29
668	2	23	28	27	34
669	2	17	16	23	37
670	2	29	24	31	28
671	2	11	28	78	39
672	2	35	24	26	46
673	8	7	6	1765	29
674	4	32	24	276	58
675	2	19	24	20	32
676	2	4	16	8	22
677	2	13	16	13	21
678	4	3	11	19	23
679	2	24	6	28	6
680	4	32	296	324	616
681	2	4	6	9	9
682	2	24	27	32	33
683	2	25	18	33	24
684	2	7	25	14	31
685	2	44	296	35	315
686	2	24	6	26	8
687	2	34	24	38	48
688	2	22	24	16	42
689	2	16	16	21	21
690	2	11	24	9	28
691	2	17	24	16	44
692	2	33	24	22	43
693	4	3	5	25	10
694	2	10	24	7	33
695	2	25	6	34	10
696	2	29	24	30	49
697	2	56	24	41	31
698	4	19	24	230	58
699	4	19	28	105	82
700	2	36	24	25	33
701	2	32	24	23	29
702	4	12	296	45	620
703	2	19	28	22	34
704	2	19	24	23	27
705	4	26	24	190	59
706	2	4	20	5	39
707	1	12	28	13	33
708	2	11	23	12	23
709	2	7	5	7	5
710	2	26	28	33	34
711	2	28	27	20	54
712	1	23	15	24	21
713	4	14	6	188	12
714	1	9	24	8	29
715	2	22	296	17	328
716	2	9	27	10	33
717	2	29	14	33	20
718	2	15	28	11	54
719	2	2	5	4	5
720	2	18	12	18	18
721	4	8	6	129	14
722	2	48	28	34	57
723	2	7	6	8	9
724	2	18	27	12	54
725	2	16	20	20	25
726	2	9	5	12	11
727	2	40	28	28	55
728	2	16	16	21	22
729	2	21	23	15	40
730	2	46	296	36	319
731	4	42	296	559	603
732	4	18	24	171	58
733	1	22	12	22	19
734	4	34	6	817	13
735	4	21	6	12650	26
736	2	24	6	26	11
737	4	11	6	265	15
738	2	19	24	23	30
739	2	18	13	24	19
740	2	26	24	29	48
741	2	21	24	20	31
742	4	23	16	493	28
743	2	7	20	9	25
744	4	15	24	120	56
745	4	22	24	346	61
746	2	14	16	18	33
747	2	7	16	9	20
748	2	36	296	28	318
749	2	14	24	13	40
750	2	12	6	16	6
751	1	18	26	18	32
752	2	29	19	34	26
753	2	14	16	18	36
754	2	19	24	20	33
755	2	8	6	9	6
756	2	7	6	8	9
757	2	10	6	13	6
758	2	11	6	11	6
759	2	15	24	15	42
760	4	11	6	243	14
761	1	35	18	35	23
762	8	20	6	29847	27
763	2	24	16	32	31
764	2	31	23	22	43
765	2	21	6	231	12
766	4	11	5	55	12
767	2	28	20	30	26
768	2	13	28	10	56
769	2	23	6	31	10
770	2	14	20	18	39
771	2	39	296	30	300
772	8	9	6	495	25
773	2	23	16	30	21
774	2	32	24	37	45
775	2	15	24	15	49
776	4	8	6	129	12
777	4	15	6	208	13
778	1	8	28	8	56
779	2	6	19	7	24
780	4	17	23	153	72
781	2	26	28	30	57
782	2	12	24	11	45
783	2	29	24	31	33
784	4	9	6	181	14
785	4	16	24	153	60
786	2	24	6	27	7
